TestCase_ID,request_type,request_name,Endpoint,userId,roleId,userRoleStatus,userFirstName,userLastName,userLocation,userMiddleName,userPhoneNumber,userLinkedinUrl,userEduPg,userEduUg,userTimeZone,userVisaStatus,loginStatus,userLoginEmail,userRoleStatus,password,userRoleProgramBatchStatus,userComments,ProgramDescription,ProgramName,ProgramStatus,batchDescription,batchId,batchname,batchNoOfClasses,batchStatus,programId,programName,Comment,classNo,classDate,classTopic,classStatus,classStaffId,classDescription,classComments,classNotes,classRecordingPath,Response_Status_Code,expectedstatusline
L_POST_TC_01,POST,Login,login,,,,,,,,,,,,,,,sdetorganizer@gmail.com,,March@2025,,,,,,,,,,,,,,,,,,,,,,,200,OK
L_POST_TC_02,POST,Login,login,,,,,,,,,,,,,,,oscar.wriht@gmail.com,,8767jhk+As,,,,,,,,,,,,,,,,,,,,,,,400,Bad Request
L_POST_TC_03,POST,Login,login,,,,,,,,,,,,,,,alice.bron@gmail.co,,Numpy123&,,,,,,,,,,,,,,,,,,,,,,,400,Bad Request
L_POST_TC_04,POST,Login,login,,,,,,,,,,,,,,,sdetorganizer@gmail.com,,March@2025767000,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
U_POST_TC_01,POST,Create users with Role Id,users/roleStatus,U279,R01,Active,Alice,Brown,PA,Moore,=+1 7710558994,https://www.linkedin.com/feed/?Alic,BE,ME,EST,H1B,Active,alice.bron@gmail.com,Active,Numpy123,Active,ADMIN1,,,,,,,,,,,,,,,,,,,,,201,Created
U_POST_TC_02,POST,Create users with Role Id,users/roleStatus,U280,R02,Active,Bob,Green,WA,Doe,=+1 7710558998,https://www.linkedin.com/feed/?BO,BSC,MSC,PST,H4-EAD,Active,bob.gren@gmail.com,Active,Numpy124,Active,STAFF1,,,,,,,,,,,,,,,,,,,,,201,Created
U_POST_TC_03,POST,Create users with Role Id,users/roleStatus,U281,R03,Active,Oscar,Wright,TN,Miller,=+1 7710858998,https://www.linkedin.com/feed/?wright,BED,MED,CST,GC-EAD,Active,oscar.wriht@gmail.com,Active,Numpy125,Active,STUDENT1,,,,,,,,,,,,,,,,,,,,,201,Created
U_POST_TC_04,POST,Create users with Role Id,users/roleStatus,U282,R01,Active,Eve,Anderson,LA,Doe,=+1 7710538998,https://www.linkedin.com/feed/?Eve,BSC,MSC,IST,H4,Active,eve.andeson@gmail.com,Active,Numpy126,Active,ADMIN1,,,,,,,,,,,,,,,,,,,,,201,Created
U_GET_TC_05,GET,Get All users,users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
U_GET_TC_06,GET,Get All users,users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
U_GET_TC_07,GET,All active users,users/activeUsers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
U_GET_TC_08,GET,All active users,users/activeUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
U_GET_TC_09,GET,Emails of all users with active status,fetch-emails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
U_GET_TC_10,GET,All Roles,roles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
U_GET_TC_11,GET,User information by UserId,users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
U_GET_TC_12,GET,All Users with roles,users/roles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
U_GET_TC_13,GET,count of active and inactive users,users/byStatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
